article_name,location,pro_tweets,tweets,twitter_search,vader_sentiment,model_sentiment
Facebook apologies aren't enough. The whole Internet needs a privacy overhaul.,dallas texas,via,Facebook apologies aren't enough. The whole Internet needs a privacy overhaul. https://t.co/u6c9HqZ5zq via @usatoday,facebook AND internet AND privacy overhaul,Neutral,neutral
Facebook apologies aren't enough. The whole Internet needs a privacy overhaul.,United States,usa today opinion via,USA Today Opinion: Facebook apologies aren't enough. The whole Internet needs a privacy overhaul. https://t.co/x2FBRRvKHf via @usatoday,facebook AND internet AND privacy overhaul,Neutral,positive
Facebook apologies aren't enough. The whole Internet needs a privacy overhaul.,Not Avaiable,facebook apologies enough the whole internet needs a privacy overhaul facebook users and all,Facebook apologies aren&amp;#39;t enough. The whole Internet needs a privacy overhaul. | Facebook users and all consume… https://t.co/hoPlpKKNrM,facebook AND internet AND privacy overhaul,Neutral,neutral
Facebook apologies aren't enough. The whole Internet needs a privacy overhaul.,"Zurich, Switzerland",gdpr is the biggest overhaul of online privacy since the birth of the internet giving europeans the right to,"""GDPR is the biggest overhaul of online privacy since the birth of the internet, giving Europeans the right to know… https://t.co/gbYQ1HsMDF",facebook AND internet AND privacy overhaul,Positive,neutral
"Delete Facebook? Nope, Facebook is growing",Philadelphia PA,facebook isnt going away anytime soon,Facebook isn't going away anytime soon.... https://t.co/akd0TKsXTa https://t.co/GzdNlG6TyH,delete facebook AND nope AND facebook,Neutral,neutral
"Delete Facebook? Nope, Facebook is growing","Nashville,TN-Music City,USA",delete facebook not so much facebook isnt shrinking its growing,"Delete Facebook? Not so much. Facebook isn't shrinking, it's growing. https://t.co/t9PLO1pBPd",delete facebook AND nope AND facebook,Negative,negative
"Delete Facebook? Nope, Facebook is growing",Not Avaiable,congratulations everyone you really,"Delete Facebook? Nope, Facebook is growing: Congratulations everyone: You really showed… https://t.co/S2ta9MuTwr",delete facebook AND nope AND facebook,Positive,positive
"Delete Facebook? Nope, Facebook is growing","Dallas, Texas",it looks like facebook is too big to fail tech technology socialmedia,It looks like #Facebook is too big to fail. #Tech #Technology #SocialMedia https://t.co/C8A7mrccP5,delete facebook AND nope AND facebook,Negative,neutral
"Delete Facebook? Nope, Facebook is growing",US,delete facebook nope facebook is growing,"Delete #Facebook? Nope, Facebook is growing https://t.co/gcZrraOcZn",delete facebook AND nope AND facebook,Positive,neutral
"Delete Facebook? Nope, Facebook is growing",SF Bay Area,i see the deletefacebook movement worked really well yearoveryear users,"I see the #DeleteFacebook movement worked really well: https://t.co/4K4lzZPpTP

Year-over-year:
- 1x/month users up… https://t.co/2OxGPbwnbP",delete facebook AND nope AND facebook,Positive,positive
"Delete Facebook? Nope, Facebook is growing","Baraboo, WI",the social media giant that you swore youd quit after it let your,"Delete Facebook? Nope, Facebook is growing.

The social media giant that you swore you'd quit after it let your dat… https://t.co/aOmwSdC6uJ",delete facebook AND nope AND facebook,Positive,positive
"Delete Facebook? Nope, Facebook is growing","Mountain Home, Ark.",the number of people who log into facebook at least once a month hit billion as of march up year over,"The number of people who log into Facebook at least once a month hit 2.2 billion as of March 31, up 13% year over y… https://t.co/PsQuRvC9b5",delete facebook AND nope AND facebook,Positive,neutral
"Delete Facebook? Nope, Facebook is growing",Not Avaiable,the social media giant that you swore youd quit after it let your,"Delete Facebook? Nope, Facebook is growing | The social media giant that you swore you'd quit after it let your dat… https://t.co/xxSvF6MSLs",delete facebook AND nope AND facebook,Positive,positive
"Delete Facebook? Nope, Facebook is growing",US,breakingnews,"Delete Facebook? Nope, Facebook is growing. #BreakingNews https://t.co/zJGrDAzbfc https://t.co/jJQg4rsm3h",delete facebook AND nope AND facebook,Positive,neutral
"Delete Facebook? Nope, Facebook is growing",Not Avaiable,the social media giant that you swore youd quit after it let your,"Delete Facebook? Nope, Facebook is growing. | The social media giant that you swore you'd quit after it let your da… https://t.co/Nib0ChQNSa",delete facebook AND nope AND facebook,Positive,positive
"Delete Facebook? Nope, Facebook is growing",Strasbourg,delete facebook nope facebook is growing,"Delete #Facebook? Nope, Facebook is growing... 
https://t.co/JVxM543cdO",delete facebook AND nope AND facebook,Neutral,neutral
"Delete Facebook? Nope, Facebook is growing","Denver, CO",news,"Delete Facebook? Nope, Facebook is growing. #news https://t.co/2sy7kd6Orv",delete facebook AND nope AND facebook,Positive,neutral
"Delete Facebook? Nope, Facebook is growing",Not Avaiable,usa today,"Delete Facebook? Nope, Facebook is growing. - USA TODAY https://t.co/up0NMuiJgN",delete facebook AND nope AND facebook,Positive,neutral
"Delete Facebook? Nope, Facebook is growing",Tennessee,fools they are still using your data,"Fools - they are still using your data. Delete Facebook? Nope, Facebook is growing. https://t.co/yWYt7fcYEX via… https://t.co/WqkRQ8M2Vd",delete facebook AND nope AND facebook,Negative,neutral
"Delete Facebook? Nope, Facebook is growing","I'll have the Tequila, thanks.",added in us and canada smh,"@RebeccaJarvis 1M added in US and Canada
smh
https://t.co/xtN9PBc1Cq",delete facebook AND nope AND facebook,Negative,neutral
"Delete Facebook? Nope, Facebook is growing",Not Avaiable,the number of people who log into facebook at least once a month hit billion as of march up year over,"The number of people who log into Facebook at least once a month hit 2.2 billion as of March 31, up 13% year over y… https://t.co/77zixZw7nu",delete facebook AND nope AND facebook,Positive,neutral
"Delete Facebook? Nope, Facebook is growing","USA TODAY HQ, McLean, Va.",facebook announced that even more people are now using the service,Facebook announced that even more people are now using the service.   https://t.co/7leixtciqn,delete facebook AND nope AND facebook,Neutral,positive
"Delete Facebook? Nope, Facebook is growing","Alabama, USA",via jlabtech,"Delete Facebook? Nope, Facebook is growing. https://t.co/Jq7rvJEnW3 via @usatoday #jlabtech",delete facebook AND nope AND facebook,Positive,neutral
"Delete Facebook? Nope, Facebook is growing","Chicago, IL",usa today,"Delete Facebook? Nope, Facebook is growing. - USA TODAY https://t.co/6RWTUvP0is https://t.co/Z9gRFiLfAc",delete facebook AND nope AND facebook,Positive,neutral
"Delete Facebook? Nope, Facebook is growing",Not Avaiable,the social media giant that you swore,"Delete Facebook? Nope, Facebook is growing.: The social media giant that you swore you’d… https://t.co/ddQu7fmkRe",delete facebook AND nope AND facebook,Neutral,positive
"Delete Facebook? Nope, Facebook is growing",510 1/2 Redcross St. 28401,facebook inc recorded rising revenue and profits in the first quarter as advertisers were undeterred by,Facebook Inc. recorded rising revenue and profits in the first quarter as advertisers were undeterred by controvers… https://t.co/Z1kJfp1QGd,delete facebook AND nope AND facebook,Positive,positive
"Delete Facebook? Nope, Facebook is growing",Not Avaiable,the social media giant that you swore youd quit after it let your,"Delete Facebook? Nope, Facebook is growing. | The social media giant that you swore you'd quit after it let your da… https://t.co/Y75499x9e0",delete facebook AND nope AND facebook,Positive,positive
"A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day — but was 'treated like nothing'","Houston,TX",facebook moderator says she took down beheadings child pornography and animal abuse every day,"Facebook moderator says she took down beheadings, child pornography and animal abuse every day https://t.co/u0ZhL1UYC2",facebook AND child pornography AND animal abuse AND day —,Negative,neutral
"A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day — but was 'treated like nothing'",United States,a facebook moderator says she took down beheadings child pornography and animal abuse every day but was treat,"A Facebook moderator says she took down beheadings, child pornography and animal abuse every day — but was 'treat... https://t.co/YCKAo7440t",facebook AND child pornography AND animal abuse AND day —,Negative,neutral
"A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day — but was 'treated like nothing'","Madison (li'l Pelosiville), WI",via a facebook moderator says she took down beheadings child pornography and animal abuse every,"via @iHateTheMedia: A Facebook moderator says she took down beheadings, child pornography, and animal abuse every d… https://t.co/fyI7AaNwm7",facebook AND child pornography AND animal abuse AND day —,Negative,neutral
"A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day — but was 'treated like nothing'",San Francisco,a facebook moderator says she took down beheadings child pornography and animal abuse every day jake,"A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day — (Jake Kanter/Bu… https://t.co/zFdgXsvQfx",facebook AND child pornography AND animal abuse AND day —,Negative,neutral
"A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day — but was 'treated like nothing'","Bettendorf, Iowa",new post a facebook moderator says she took down beheadings child pornography and animal abuse every day,"New post: ""A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day — but… https://t.co/ckgfAtL4bV",facebook AND child pornography AND animal abuse AND day —,Negative,neutral
"A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day — but was 'treated like nothing'","Eastern Shores, Florida, USA",a facebook moderator says she took down beheadings child pornography and animal abuse every day,"A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day... https://t.co/LG5xjSjcpn",facebook AND child pornography AND animal abuse AND day —,Negative,neutral
"A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day — but was 'treated like nothing'","New York, USA",a facebook moderator says she took down beheadings child and animal abuse every day but was,"A Facebook moderator says she took down beheadings, child p*********y, and animal abuse every day — but was 'treate… https://t.co/rDvqlhdn01",facebook AND child pornography AND animal abuse AND day —,Negative,neutral
"A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day — but was 'treated like nothing'",Not Avaiable,hispanic news a facebook moderator says she took down beheadings child pornography and animal abuse every day,Hispanic News A Facebook moderator says she took down beheadings child pornography and animal abuse every day — but… https://t.co/IggCkVB2lY,facebook AND child pornography AND animal abuse AND day —,Negative,neutral
"A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day — but was 'treated like nothing'",North Carolina,this will give you nightmares a facebook moderator says she took down beheadings child pornography and,"This will give you nightmares. 

A Facebook moderator says she took down beheadings, child pornography, and animal… https://t.co/oNpS9MuNOR",facebook AND child pornography AND animal abuse AND day —,Neutral,neutral
"A Facebook moderator says she took down beheadings, child pornography, and animal abuse every day — but was 'treated like nothing'","New York, NY",artificialintelligence ai a facebook moderator says she took down beheadings child pornography and animal,"#ArtificialIntelligence #AI A Facebook moderator says she took down beheadings, child pornography, and animal abuse… https://t.co/RGmOL2eFh1",facebook AND child pornography AND animal abuse AND day —,Neutral,neutral
Facebook slammed by UK lawmakers as CTO promises transparency overhaul,"New Delhi, India",slammed by uk lawmakers as cto promises transparency overhaul,@facebook Slammed by UK Lawmakers as #CTO Promises Transparency Overhaul https://t.co/aACipSHxXA,facebook AND uk AND cto AND transparency overhaul,Positive,neutral
Facebook slammed by UK lawmakers as CTO promises transparency overhaul,United States,new post facebook slammed by uk lawmakers as cto promises transparency overhaul has been published on daily top,New post (Facebook Slammed by UK Lawmakers as CTO Promises Transparency Overhaul) has been published on Daily top p… https://t.co/2GnXGXhA2w,facebook AND uk AND cto AND transparency overhaul,Positive,positive
Facebook slammed by UK lawmakers as CTO promises transparency overhaul,India,technews facebook slammed by uk lawmakers as cto promises transparency overhaul,#TechNews Facebook Slammed by UK Lawmakers as CTO Promises Transparency Overhaul https://t.co/3CWT1wvegI,facebook AND uk AND cto AND transparency overhaul,Positive,neutral
Facebook slammed by UK lawmakers as CTO promises transparency overhaul,Not Avaiable,facebook slammed by uk lawmakers as cto promises transparency overhaul a top facebook executive apologised for,"Facebook Slammed by UK Lawmakers as CTO Promises Transparency Overhaul 

A top Facebook executive apologised for er… https://t.co/Jd1WFR9Gly",facebook AND uk AND cto AND transparency overhaul,Positive,neutral
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Miami Florida,followme facebook censored our free speech trump supporters diamond and silk tell congress social media,followme - 'Facebook censored our free speech!' Trump supporters Diamond and Silk tell Congress: Social media perso… https://t.co/r8exBq2q4T,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/QEPAF9aNy5,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/qWTJ3NQlQk,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/mR1AOmr0Cl,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/1aBOtgR5gz,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/lHAo0jXBYO,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/1TIx1D4xwg,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/WJlNmpxzF6,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/c8J2lLhIVD,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/mmpImwJCH0,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/7PHBh2YpmL,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/dpeZwxsrdU,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/UQ48h2aMag,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Miami Florida,followme facebook censored our free speech trump supporters diamond and silk tell congress social media,followme - 'Facebook censored our free speech!' Trump supporters Diamond and Silk tell Congress: Social media perso… https://t.co/r8exBq2q4T,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/QEPAF9aNy5,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/qWTJ3NQlQk,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/mR1AOmr0Cl,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/1aBOtgR5gz,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/lHAo0jXBYO,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/1TIx1D4xwg,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/WJlNmpxzF6,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/c8J2lLhIVD,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/mmpImwJCH0,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/7PHBh2YpmL,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/dpeZwxsrdU,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Trump supporters 'Diamond and Silk' go to Capitol Hill and accuse Facebook of censoring free speech,Not Trump's America,censored our free trump supporters diamond and silk tell congress social media,&amp;apos;Facebook censored our free speech!&amp;apos; Trump supporters Diamond and Silk tell Congress -  Social media pers… https://t.co/UQ48h2aMag,trump AND supporters 'diamond AND silk AND capitol hill AND facebook AND free speech,Positive,positive
Facebook exec promises UK lawmakers overhaul for political ads,"Charlotte, NC",via,Facebook exec promises UK lawmakers overhaul for political ads:https://t.co/jJqg9kLBT4 via @ABSCBNNews,facebook AND uk AND lawmakers overhaul AND political ads,Positive,neutral
Facebook exec promises UK lawmakers overhaul for political ads,"Detroit, MI",reuters via,Facebook exec promises UK lawmakers overhaul for political ads - Reuters https://t.co/qPXWk6GTxK via @nuzzel,facebook AND uk AND lawmakers overhaul AND political ads,Positive,positive
Facebook exec promises UK lawmakers overhaul for political ads,Not Avaiable,facebook will introduce new measures to improve transparency around advertising and politics in britain an,"Facebook will introduce new measures to improve transparency around advertising and politics in Britain, an executi… https://t.co/nw7hLSI41i",facebook AND uk AND lawmakers overhaul AND political ads,Positive,positive
Facebook exec promises UK lawmakers overhaul for political ads,"New York, USA",facebook exec promises uk lawmakers overhaul for political ads,Facebook Exec Promises Uk Lawmakers Overhaul For Political Ads https://t.co/YnF21Ld5fU https://t.co/7GBRXpYVAL,facebook AND uk AND lawmakers overhaul AND political ads,Positive,neutral
Facebook exec promises UK lawmakers overhaul for political ads,The Netherlands,london reuters facebook will,Facebook exec promises UK lawmakers overhaul for political ads https://t.co/nF5Y57kIBR LONDON (Reuters) - Facebook will,facebook AND uk AND lawmakers overhaul AND political ads,Positive,positive
Facebook exec promises UK lawmakers overhaul for political ads,"South Quay, London",london reuters facebook will introduce new measures to improve transparency around advertising and politics,LONDON (Reuters) - Facebook will introduce new measures to improve transparency around advertising and politics in… https://t.co/a3ORgxH2Rs,facebook AND uk AND lawmakers overhaul AND political ads,Positive,positive
Facebook exec promises UK lawmakers overhaul for political ads,http://rafiqraji.com,internet privacy facebook exec promises uk lawmakers overhaul for political ads,#Internet #Privacy | #Facebook exec promises #UK lawmakers overhaul for political ads https://t.co/c2bhEs8VHT,facebook AND uk AND lawmakers overhaul AND political ads,Positive,neutral
Facebook exec promises UK lawmakers overhaul for political ads,United States,article reuters,Facebook exec promises UK lawmakers overhaul for political ads | Article [AMP] | Reuters https://t.co/ASdryEunTk,facebook AND uk AND lawmakers overhaul AND political ads,Positive,positive
Facebook exec promises UK lawmakers overhaul for political ads,USA,facebook exec promises uk overhaul of political ads after the session the chairman said the exec had failed to,"Facebook exec promises UK overhaul of political ads. After the session, the chairman said the exec had failed to pr… https://t.co/7JWQrraJdq",facebook AND uk AND lawmakers overhaul AND political ads,Negative,neutral
Facebook exec promises UK lawmakers overhaul for political ads,new zealand,new post has been published on,New post (Facebook exec promises UK lawmakers overhaul for political ads) has been published on 101fyi -… https://t.co/cnsnFfffmo,facebook AND uk AND lawmakers overhaul AND political ads,Positive,positive
